SITE,DEPLOYMENT,NIGHT,SPECIES,COUNT,MLE
001-00009,001-000092,2016-07-07,NYHU,74.0,0.0
001-00009,001-000092,2016-07-07,PESU,1.0,1.0
001-00009,001-000092,2016-07-08,EPFU,140.0,0.0
001-00009,001-000092,2016-07-08,LABO,75.0,0.0
001-00009,001-000092,2016-07-08,LACI,23.0,3.237e-4
001-00009,001-000092,2016-07-08,LANO,32.0,0.9966943
001-00009,001-000092,2016-07-08,MYLU,3.0,1.0
001-00009,001-000092,2016-07-08,MYSE,0.0,1.0
001-00009,001-000092,2016-07-08,NYHU,100.0,0.0
001-00009,001-000092,2016-07-08,PESU,0.0,1.0
001-00009,001-000092,2016-07-09,EPFU,208.0,0.0
001-00009,001-000092,2016-07-09,LABO,89.0,0.0
001-00009,001-000092,2016-07-09,LACI,37.0,2e-7
001-00009,001-000092,2016-07-09,LANO,17.0,1.0
001-00009,001-000092,2016-07-09,MYLU,3.0,1.0
001-00009,001-000092,2016-07-09,MYSE,3.0,0.0126376
001-00009,001-000092,2016-07-09,NYHU,172.0,0.0
001-00009,001-000092,2016-07-09,PESU,3.0,1.0
001-00009,001-000092,2016-07-10,EPFU,175.0,0.0
001-00009,001-000092,2016-07-10,LABO,55.0,0.0
001-00009,001-000092,2016-07-10,LACI,32.0,8e-7
001-00009,001-000092,2016-07-10,LANO,23.0,1.0
001-00009,001-000092,2016-07-10,MYLU,5.0,1.0
001-00009,001-000092,2016-07-10,MYSE,2.0,0.0591961
001-00009,001-000092,2016-07-10,NYHU,102.0,0.0
001-00009,001-000092,2016-07-10,PESU,1.0,1.0
001-00015,001-000151,2016-07-01,EPFU,10.0,0.0
001-00015,001-000151,2016-07-01,LABO,1.0,0.6141591
001-00015,001-000151,2016-07-01,LACI,4.0,0.0197995
001-00015,001-000151,2016-07-01,LANO,1.0,1.0
001-00015,001-000151,2016-07-01,MYLU,6.0,3.52e-5
001-00015,001-000151,2016-07-01,MYSE,0.0,1.0
001-00015,001-000151,2016-07-01,NYHU,2.0,0.3475457
001-00015,001-000151,2016-07-01,PESU,3.0,0.0020108
001-00015,001-000151,2016-07-02,EPFU,0.0,1.0
001-00015,001-000151,2016-07-02,LABO,0.0,1.0
001-00015,001-000151,2016-07-02,LACI,0.0,1.0
001-00015,001-000151,2016-07-02,LANO,0.0,1.0
001-00015,001-000151,2016-07-02,MYLU,1.0,0.0764973
001-00015,001-000151,2016-07-02,MYSE,0.0,1.0
001-00015,001-000151,2016-07-02,NYHU,0.0,1.0
001-00015,001-000151,2016-07-02,PESU,0.0,1.0
001-00015,001-000151,2016-07-03,EPFU,0.0,1.0
001-00015,001-000151,2016-07-03,LABO,2.0,0.0610333
001-00015,001-000151,2016-07-03,LACI,5.0,3.6e-6
001-00015,001-000151,2016-07-03,LANO,1.0,0.9820007
001-00015,001-000151,2016-07-03,MYLU,4.0,0.0135528
001-00015,001-000151,2016-07-03,MYSE,0.0,1.0
001-00015,001-000151,2016-07-03,NYHU,1.0,0.9919317
001-00015,001-000151,2016-07-03,PESU,7.0,1e-7
001-00015,001-000151,2016-07-04,EPFU,10.0,1e-7
001-00015,001-000151,2016-07-04,LABO,5.0,1.529e-4
001-00015,001-000151,2016-07-04,LACI,3.0,0.1048708
